seqnames	start	end	width	strand	source	type	score	phase	gene_id	gene_type	gene_name	level	havana_gene	tag
1	21368331	21370845	2515	+	HAVANA	gene	NA	NA	ENSMUSG00000041722.7	protein_coding	Khdc1c	2	OTTMUSG00000033756.2	NA
1	21383556	21386373	2818	+	HAVANA	gene	NA	NA	ENSMUSG00000085079.3	protein_coding	Khdc1b	2	OTTMUSG00000033753.1	NA
1	21398403	21961942	563540	-	HAVANA	gene	NA	NA	ENSMUSG00000028033.16	protein_coding	Kcnq5	2	OTTMUSG00000019675.5	overlapping_locus
1	22286251	22805994	519744	-	HAVANA	gene	NA	NA	ENSMUSG00000041670.16	protein_coding	Rims1	2	OTTMUSG00000046025.2	fragmented_locus
1	23100473	23102253	1781	-	HAVANA	gene	NA	NA	ENSMUSG00000073730.2	protein_coding	RP24-163I14.1	2	OTTMUSG00000046242.1	overlapping_locus
1	23366424	23397772	31349	-	HAVANA	gene	NA	NA	ENSMUSG00000026158.11	protein_coding	Ogfrl1	1	OTTMUSG00000046267.3	NA
1	23761753	23849158	87406	+	HAVANA	gene	NA	NA	ENSMUSG00000026156.8	protein_coding	B3gat2	2	OTTMUSG00000026519.3	NA
1	23844846	23922317	77472	-	HAVANA	gene	NA	NA	ENSMUSG00000026155.13	protein_coding	Smap1	2	OTTMUSG00000026521.4	NA
1	23995939	24005656	9718	-	HAVANA	gene	NA	NA	ENSMUSG00000026154.4	protein_coding	Sdhaf4	2	OTTMUSG00000022115.3	NA
1	24011093	24100341	89249	-	HAVANA	gene	NA	NA	ENSMUSG00000026153.15	protein_coding	Fam135a	2	OTTMUSG00000046269.2	NA
1	24177610	24252684	75075	+	HAVANA	gene	NA	NA	ENSMUSG00000026147.16	protein_coding	Col9a1	2	OTTMUSG00000022796.1	NA
1	24261890	24587472	325583	-	HAVANA	gene	NA	NA	ENSMUSG00000026141.13	protein_coding	Col19a1	2	OTTMUSG00000021418.1	ncRNA_host
1	24678630	24766301	87672	+	HAVANA	gene	NA	NA	ENSMUSG00000073725.8	protein_coding	Lmbrd1	1	OTTMUSG00000046322.2	NA
1	25067476	25829707	762232	-	HAVANA	gene	NA	NA	ENSMUSG00000033569.17	protein_coding	Adgrb3	1	OTTMUSG00000025352.6	overlapping_locus
1	26681814	26687460	5647	-	HAVANA	gene	NA	NA	ENSMUSG00000073722.3	protein_coding	RP24-338N17.1	2	OTTMUSG00000039939.1	NA
1	28776117	28780252	4136	-	HAVANA	gene	NA	NA	ENSMUSG00000048411.4	protein_coding	Gm597	2	OTTMUSG00000048685.1	NA
1	30802339	30873921	71583	-	HAVANA	gene	NA	NA	ENSMUSG00000048874.15	protein_coding	Phf3	2	OTTMUSG00000048797.4	overlapping_locus
1	30940302	30949770	9469	-	HAVANA	gene	NA	NA	ENSMUSG00000026064.15	protein_coding	Ptp4a1	2	OTTMUSG00000021326.6	NA
1	31135226	31222684	87459	-	HAVANA	gene	NA	NA	ENSMUSG00000086727.7	protein_coding	AC121888.2	2	OTTMUSG00000026557.5	NA
1	31176401	31204725	28325	+	HAVANA	gene	NA	NA	ENSMUSG00000050217.13	protein_coding	Lgsn	2	OTTMUSG00000026558.3	NA
1	31222838	31224288	1451	+	HAVANA	gene	NA	NA	ENSMUSG00000026063.4	protein_coding	Pih1d3	2	OTTMUSG00000026559.3	NA
1	32172714	32658568	485855	+	HAVANA	gene	NA	NA	ENSMUSG00000026058.11	protein_coding	Khdrbs2	2	OTTMUSG00000048923.3	overlapping_locus
1	32543686	32547294	3609	-	HAVANA	gene	NA	NA	ENSMUSG00000091318.2	protein_coding	RP24-390L20.3	2	OTTMUSG00000048930.1	NA
1	33453810	33669795	215986	-	HAVANA	gene	NA	NA	ENSMUSG00000026134.11	protein_coding	Prim2	2	OTTMUSG00000049047.3	overlapping_locus
1	33719887	33742564	22678	+	HAVANA	gene	NA	NA	ENSMUSG00000004768.14	protein_coding	Rab23	1	OTTMUSG00000021871.6	NA
1	33745484	33757795	12312	-	HAVANA	gene	NA	NA	ENSMUSG00000042215.8	protein_coding	Bag2	2	OTTMUSG00000021814.3	NA
1	33761545	33814595	53051	-	HAVANA	gene	NA	NA	ENSMUSG00000042197.13	protein_coding	Zfp451	1	OTTMUSG00000021885.18	NA
1	33852052	33907816	55765	-	HAVANA	gene	NA	NA	ENSMUSG00000042182.16	protein_coding	Bend6	2	OTTMUSG00000021502.7	overlapping_locus
1	33908225	34308661	400437	+	HAVANA	gene	NA	NA	ENSMUSG00000026131.18	protein_coding	Dst	1	OTTMUSG00000044431.13	overlapping_locus
1	34436670	34439672	3003	-	HAVANA	gene	NA	NA	ENSMUSG00000042111.9	protein_coding	Ccdc115	2	OTTMUSG00000049472.1	NA
1	34439851	34449356	9506	+	HAVANA	gene	NA	NA	ENSMUSG00000026127.13	protein_coding	Imp4	2	OTTMUSG00000029577.4	NA
1	34459762	34475733	15972	+	HAVANA	gene	NA	NA	ENSMUSG00000026126.15	protein_coding	Ptpn18	1	OTTMUSG00000049465.6	NA
1	34498410	34503063	4654	+	HAVANA	gene	NA	NA	ENSMUSG00000026125.9	protein_coding	Prss39	2	OTTMUSG00000049474.1	NA
1	34535648	34544313	8666	+	HAVANA	gene	NA	NA	ENSMUSG00000026124.4	protein_coding	Cfc1	2	OTTMUSG00000049475.2	NA
1	34543968	34560943	16976	-	HAVANA	gene	NA	NA	ENSMUSG00000037529.13	protein_coding	Prss40	2	OTTMUSG00000022629.4	NA
1	34579657	34590944	11288	+	HAVANA	gene	NA	NA	ENSMUSG00000045174.10	protein_coding	Amer3	2	OTTMUSG00000049476.2	NA
1	34678188	34813309	135122	+	HAVANA	gene	NA	NA	ENSMUSG00000037509.20	protein_coding	Arhgef4	2	OTTMUSG00000033276.14	NA
1	34813219	34843065	29847	-	HAVANA	gene	NA	NA	ENSMUSG00000037503.12	protein_coding	Fam168b	2	OTTMUSG00000021855.4	NA
1	34849976	34879580	29605	+	HAVANA	gene	NA	NA	ENSMUSG00000026123.11	protein_coding	Plekhb2	2	OTTMUSG00000029565.6	NA
1	36068400	36106446	38047	+	HAVANA	gene	NA	NA	ENSMUSG00000045216.7	protein_coding	Hs6st1	2	OTTMUSG00000029555.3	NA
1	36140027	36244720	104694	-	HAVANA	gene	NA	NA	ENSMUSG00000037470.14	protein_coding	Uggt1	2	OTTMUSG00000037695.3	ncRNA_host
1	36264597	36274679	10083	-	HAVANA	gene	NA	NA	ENSMUSG00000047180.8	protein_coding	Neurl3	2	OTTMUSG00000045459.2	NA
1	36307733	36324029	16297	+	HAVANA	gene	NA	NA	ENSMUSG00000037447.16	protein_coding	Arid5a	1	OTTMUSG00000021515.5	NA
1	36335730	36369181	33452	-	HAVANA	gene	NA	NA	ENSMUSG00000010453.12	protein_coding	Kansl3	1	OTTMUSG00000049477.4	ncRNA_host
1	36372291	36422110	49820	+	HAVANA	gene	NA	NA	ENSMUSG00000037432.15	protein_coding	Fer1l5	2	OTTMUSG00000033700.4	NA
1	36419871	36445271	25401	-	HAVANA	gene	NA	NA	ENSMUSG00000001143.13	protein_coding	Lman2l	2	OTTMUSG00000021558.4	NA
1	36471620	36508764	37145	+	HAVANA	gene	NA	NA	ENSMUSG00000037408.10	protein_coding	Cnnm4	2	OTTMUSG00000033420.2	ncRNA_host
1	36511867	36528237	16371	+	HAVANA	gene	NA	NA	ENSMUSG00000001138.13	protein_coding	Cnnm3	2	OTTMUSG00000021763.2	NA
1	36530188	36536883	6696	-	HAVANA	gene	NA	NA	ENSMUSG00000067653.12	protein_coding	Ankrd23	2	OTTMUSG00000049836.2	NA
1	36530193	36539429	9237	-	HAVANA	gene	NA	NA	ENSMUSG00000109510.1	protein_coding	RP23-294I17.8	2	OTTMUSG00000050010.4	overlapping_locus
1	36537507	36547445	9939	-	HAVANA	gene	NA	NA	ENSMUSG00000079610.9	protein_coding	Ankrd39	2	OTTMUSG00000049837.2	overlapping_locus
1	36548639	36558349	9711	-	HAVANA	gene	NA	NA	ENSMUSG00000026121.13	protein_coding	Sema4c	2	OTTMUSG00000020876.17	NA
1	36562692	36683183	120492	-	HAVANA	gene	NA	NA	ENSMUSG00000046337.17	protein_coding	Fam178b	2	OTTMUSG00000021818.6	NA
1	36691449	36693681	2233	+	HAVANA	gene	NA	NA	ENSMUSG00000061518.11	protein_coding	Cox5b	2	OTTMUSG00000049480.2	NA
1	36698114	36714422	16309	-	HAVANA	gene	NA	NA	ENSMUSG00000037351.9	protein_coding	Actr1b	2	OTTMUSG00000034164.4	NA
1	36710149	36757953	47805	+	HAVANA	gene	NA	NA	ENSMUSG00000102416.4	protein_coding	RP23-247A1.6	2	OTTMUSG00000049901.4	NA
1	36761798	36782818	21021	+	HAVANA	gene	NA	NA	ENSMUSG00000026117.10	protein_coding	Zap70	2	OTTMUSG00000049481.5	NA
1	36792191	36943666	151476	-	HAVANA	gene	NA	NA	ENSMUSG00000026116.11	protein_coding	Tmem131	2	OTTMUSG00000049482.5	overlapping_locus
1	37026596	37187613	161018	+	HAVANA	gene	NA	NA	ENSMUSG00000050122.18	protein_coding	Vwa3b	2	OTTMUSG00000029372.7	NA
1	37214434	37263384	48951	+	HAVANA	gene	NA	NA	ENSMUSG00000026114.14	protein_coding	Cnga3	1	OTTMUSG00000024612.5	NA
1	37299865	37410736	110872	+	HAVANA	gene	NA	NA	ENSMUSG00000026113.17	protein_coding	Inpp4a	2	OTTMUSG00000033181.6	NA
1	37417084	37430103	13020	-	HAVANA	gene	NA	NA	ENSMUSG00000026112.7	protein_coding	Coa5	2	OTTMUSG00000022117.2	NA
1	37430139	37439124	8986	+	HAVANA	gene	NA	NA	ENSMUSG00000026111.15	protein_coding	Unc50	2	OTTMUSG00000021774.21	NA
1	37439340	37541016	101677	-	HAVANA	gene	NA	NA	ENSMUSG00000026110.15	protein_coding	Mgat4a	2	OTTMUSG00000033899.7	overlapping_locus
1	37611677	37720085	108409	-	HAVANA	gene	NA	NA	ENSMUSG00000026090.16	protein_coding	AC140321.1	2	OTTMUSG00000030326.2	overlapping_locus
1	37754776	37866429	111654	-	HAVANA	gene	NA	NA	ENSMUSG00000060771.14	protein_coding	Tsga10	2	OTTMUSG00000023825.6	NA
1	37871738	37876228	4491	+	HAVANA	gene	NA	NA	ENSMUSG00000037216.5	protein_coding	Lipt1	2	OTTMUSG00000022093.3	NA
1	37874801	37890411	15611	-	HAVANA	gene	NA	NA	ENSMUSG00000026088.15	protein_coding	Mitd1	2	OTTMUSG00000026563.5	NA
1	37890477	37898535	8059	+	HAVANA	gene	NA	NA	ENSMUSG00000026087.11	protein_coding	Mrpl30	2	OTTMUSG00000026562.6	NA
1	37905923	37916493	10571	-	HAVANA	gene	NA	NA	ENSMUSG00000061584.6	protein_coding	Lyg2	2	OTTMUSG00000026561.3	NA
1	37946736	37957759	11024	-	HAVANA	gene	NA	NA	ENSMUSG00000026085.11	protein_coding	Lyg1	2	OTTMUSG00000022170.2	NA
1	37985189	37997893	12705	-	HAVANA	gene	NA	NA	ENSMUSG00000058407.12	protein_coding	Txndc9	1	OTTMUSG00000026595.7	NA
1	37998010	38055579	57570	+	HAVANA	gene	NA	NA	ENSMUSG00000026083.12	protein_coding	Eif5b	2	OTTMUSG00000049483.2	NA
1	38052786	38129801	77016	-	HAVANA	gene	NA	NA	ENSMUSG00000026082.11	protein_coding	Rev1	2	OTTMUSG00000049485.3	overlapping_locus
1	38177326	38664955	487630	-	HAVANA	gene	NA	NA	ENSMUSG00000037138.17	protein_coding	Aff3	1	OTTMUSG00000019698.6	NA
1	38793645	38836711	43067	-	HAVANA	gene	NA	NA	ENSMUSG00000048814.10	protein_coding	Lonrf2	2	OTTMUSG00000026560.4	NA
1	38863867	38898161	34295	-	HAVANA	gene	NA	NA	ENSMUSG00000026080.13	protein_coding	Chst10	2	OTTMUSG00000049487.3	NA
1	38939149	38950276	11128	+	HAVANA	gene	NA	NA	ENSMUSG00000067604.8	protein_coding	Nms	2	OTTMUSG00000035128.5	NA
1	38985608	38997238	11631	+	HAVANA	gene	NA	NA	ENSMUSG00000026078.10	protein_coding	Pdcl3	2	OTTMUSG00000050275.4	NA
1	39193731	39363236	169506	+	HAVANA	gene	NA	NA	ENSMUSG00000026077.15	protein_coding	Npas2	2	OTTMUSG00000036938.3	overlapping_locus
1	39367842	39371911	4070	+	HAVANA	gene	NA	NA	ENSMUSG00000073702.11	protein_coding	Rpl31	2	OTTMUSG00000050276.2	NA
1	39371492	39478755	107264	-	HAVANA	gene	NA	NA	ENSMUSG00000003134.10	protein_coding	Tbc1d8	2	OTTMUSG00000050277.3	NA
1	39534992	39546889	11898	+	HAVANA	gene	NA	NA	ENSMUSG00000003135.15	protein_coding	Cnot11	2	OTTMUSG00000026590.3	NA
1	39551296	39577405	26110	-	HAVANA	gene	NA	NA	ENSMUSG00000048234.13	protein_coding	Rnf149	2	OTTMUSG00000021879.2	overlapping_locus
1	39618406	39651474	33069	-	HAVANA	gene	NA	NA	ENSMUSG00000050967.5	protein_coding	Creg2	2	OTTMUSG00000049490.1	NA
1	39665301	39720997	55697	-	HAVANA	gene	NA	NA	ENSMUSG00000057173.8	protein_coding	Rfx8	2	OTTMUSG00000033905.2	NA
1	39804148	39805332	1185	-	HAVANA	gene	NA	NA	ENSMUSG00000091937.3	protein_coding	RP23-469H11.2	2	OTTMUSG00000050279.1	NA
1	39900913	40026310	125398	+	HAVANA	gene	NA	NA	ENSMUSG00000026074.15	protein_coding	Map4k4	2	OTTMUSG00000050440.4	NA
1	40074079	40125231	51153	+	HAVANA	gene	NA	NA	ENSMUSG00000026073.13	protein_coding	Il1r2	2	OTTMUSG00000050443.3	NA
1	40225080	40317257	92178	+	HAVANA	gene	NA	NA	ENSMUSG00000026072.12	protein_coding	Il1r1	2	OTTMUSG00000050518.3	NA
1	40324610	40367562	42953	+	HAVANA	gene	NA	NA	ENSMUSG00000070942.8	protein_coding	Il1rl2	2	OTTMUSG00000050520.3	NA
1	40429570	40465415	35846	+	HAVANA	gene	NA	NA	ENSMUSG00000026069.15	protein_coding	Il1rl1	2	OTTMUSG00000037806.4	NA
1	40465552	40500854	35303	+	HAVANA	gene	NA	NA	ENSMUSG00000026070.15	protein_coding	Il18r1	2	OTTMUSG00000050472.4	NA
1	40515362	40551705	36344	+	HAVANA	gene	NA	NA	ENSMUSG00000026068.11	protein_coding	Il18rap	2	OTTMUSG00000034788.2	NA
1	40580081	40630725	50645	+	HAVANA	gene	NA	NA	ENSMUSG00000026065.8	protein_coding	Slc9a4	1	OTTMUSG00000050474.4	NA
1	40680574	40769273	88700	+	HAVANA	gene	NA	NA	ENSMUSG00000026062.12	protein_coding	Slc9a2	2	OTTMUSG00000050475.3	NA
1	40772038	40790687	18650	-	HAVANA	gene	NA	NA	ENSMUSG00000041945.12	protein_coding	Mfsd9	2	OTTMUSG00000022617.2	NA
1	40805601	40856887	51287	+	HAVANA	gene	NA	NA	ENSMUSG00000079588.3	protein_coding	Tmem182	2	OTTMUSG00000042167.4	NA
1	42695768	42703176	7409	+	HAVANA	gene	NA	NA	ENSMUSG00000045515.3	protein_coding	Pou3f3	2	OTTMUSG00000022569.2	overlapping_locus
1	42851233	42905683	54451	+	HAVANA	gene	NA	NA	ENSMUSG00000060679.14	protein_coding	Mrps9	2	OTTMUSG00000046302.2	NA
1	42952872	43035456	82585	+	HAVANA	gene	NA	NA	ENSMUSG00000041907.9	protein_coding	Gpr45	2	OTTMUSG00000045911.2	NA
1	43047200	43098637	51438	-	HAVANA	gene	NA	NA	ENSMUSG00000070939.9	protein_coding	Tgfbrap1	1	OTTMUSG00000046304.4	NA
1	43098710	43115947	17238	+	HAVANA	gene	NA	NA	ENSMUSG00000010290.7	protein_coding	AC161207.1	2	OTTMUSG00000021985.1	NA
1	43123074	43196984	73911	-	HAVANA	gene	NA	NA	ENSMUSG00000008136.14	protein_coding	Fhl2	2	OTTMUSG00000046311.2	NA
1	43444579	43570515	125937	+	HAVANA	gene	NA	NA	ENSMUSG00000066877.11	protein_coding	Nck2	2	OTTMUSG00000021065.5	overlapping_locus
1	43730602	43742578	11977	+	HAVANA	gene	NA	NA	ENSMUSG00000026051.8	protein_coding	AC159092.1	2	OTTMUSG00000020869.1	NA
1	43746966	43827800	80835	-	HAVANA	gene	NA	NA	ENSMUSG00000057363.12	protein_coding	Uxs1	2	OTTMUSG00000030350.4	NA
1	43933647	44003000	69354	+	HAVANA	gene	NA	NA	ENSMUSG00000041763.14	protein_coding	Tpp2	2	OTTMUSG00000046400.3	NA
1	44009408	44020034	10627	-	HAVANA	gene	NA	NA	ENSMUSG00000047343.4	protein_coding	Mettl21c	2	OTTMUSG00000026592.1	overlapping_locus
1	44055952	44061936	5985	-	ENSEMBL	gene	NA	NA	ENSMUSG00000091844.1	protein_coding	Gm8251	3	NA	NA
